file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,b742a658,Diego Arevalo Fernandez,2025-01-17,18:08:48,-08:00,2025-01-17T18:08:48-08:00,0,14
style.css,50,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,46
style.css,51,css,b742a658,Diego Arevalo Fernandez,2025-01-17,18:08:48,-08:00,2025-01-17T18:08:48-08:00,0,21
style.css,52,css,b742a658,Diego Arevalo Fernandez,2025-01-17,18:08:48,-08:00,2025-01-17T18:08:48-08:00,0,0
style.css,53,css,b742a658,Diego Arevalo Fernandez,2025-01-17,18:08:48,-08:00,2025-01-17T18:08:48-08:00,0,0
style.css,54,css,b742a658,Diego Arevalo Fernandez,2025-01-17,18:08:48,-08:00,2025-01-17T18:08:48-08:00,0,12
style.css,55,css,b742a658,Diego Arevalo Fernandez,2025-01-17,18:08:48,-08:00,2025-01-17T18:08:48-08:00,0,46
style.css,56,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,70
style.css,57,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,58,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,59,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,24
style.css,60,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,13
style.css,61,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,62,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,63,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,5
style.css,64,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,13
style.css,65,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,31
style.css,66,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,8
style.css,67,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,11
style.css,68,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,69,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,70,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,6
style.css,71,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,14
style.css,72,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,18
style.css,73,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,74,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,75,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,16
style.css,76,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,14
style.css,77,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,11
style.css,78,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,14
style.css,79,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,22
style.css,80,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,41
style.css,81,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,24
style.css,82,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,37
style.css,83,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,84,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,85,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,7
style.css,86,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,19
style.css,87,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,14
style.css,88,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,15
style.css,89,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,34
style.css,90,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,25
style.css,91,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,12
style.css,92,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,15
style.css,93,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,94,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,95,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,13
style.css,96,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,40
style.css,97,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,98,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,99,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,10
style.css,100,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,13
style.css,101,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,59
style.css,102,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,8
style.css,103,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,104,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,0
style.css,105,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,18
style.css,106,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,13
style.css,107,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,27
style.css,108,css,232bc9b6,Diego Arevalo Fernandez,2025-01-17,19:51:30,-08:00,2025-01-17T19:51:30-08:00,0,16
style.css,109,css,de4317da,Diego Arevalo Fernandez,2025-01-24,21:49:34,-08:00,2025-01-24T21:49:34-08:00,0,41
